Player,Pos,Age,Tm,Player-additional
Wendell Moore Jr.,SG,21,MIN,moorewe01
Ja Morant,PG,23,MEM,moranja01
Marcus Morris,PF,33,LAC,morrima03
Markieff Morris,PF,33,BRK,morrima02
Monte Morris,PG,27,WAS,morrimo01
Trey Murphy III,SF,22,NOP,murphtr02
Dejounte Murray,SG,26,ATL,murrade01
Jamal Murray,PG,25,DEN,murraja01
Keegan Murray,SF,22,SAC,murrake02
Mike Muscala,C,31,OKC,muscami01
Svi Mykhailiuk,SF,25,NYK,mykhasv01
Larry Nance Jr.,PF,30,NOP,nancela02
Andrew Nembhard,SG,23,IND,nembhan01
Aaron Nesmith,SF,23,IND,nesmiaa01
Raul Neto,PG,30,CLE,netora01
Georges Niang,PF,29,PHI,niangge01
Daishen Nix,PG,20,HOU,nixda01
Zeke Nnaji,PF,22,DEN,nnajize01
Nerlens Noel,C,28,DET,noelne01
Jaylen Nowell,SG,23,MIN,nowelja01
Frank Ntilikina,PG,24,DAL,ntilila01
Kendrick Nunn,SG,27,LAL,nunnke01
Jusuf Nurkić,C,28,POR,nurkiju01
Jordan Nwora,SF,24,MIL,nworajo01
Royce O'Neale,SF,29,BRK,onealro01
Chuma Okeke,SF,24,ORL,okekech01
Josh Okogie,SG,24,PHO,okogijo01
Onyeka Okongwu,C,22,ATL,okongon01
Isaac Okoro,SF,22,CLE,okorois01
KZ Okpala,PF,23,SAC,okpalkz01
Victor Oladipo,SG,30,MIA,oladivi01
Kelly Olynyk,C,31,UTA,olynyke01
Eugene Omoruyi,SF,25,OKC,omorueu01
Cedi Osman,SF,27,CLE,osmande01
Kelly Oubre Jr.,SF,27,CHO,oubreke01
Chris Paul,PG,37,PHO,paulch01
Cameron Payne,PG,28,PHO,payneca01
Gary Payton II,PG,30,POR,paytoga02
Theo Pinson,SG,27,DAL,pinsoth01
Scotty Pippen Jr.,PG,22,LAL,pippesc02
Mason Plumlee,C,32,CHO,plumlma01
Jakob Poeltl,C,27,SAS,poeltja01
Aleksej Pokusevski,PF,21,OKC,pokusal01
Jordan Poole,PG,23,GSW,poolejo01
Kevin Porter Jr.,PG,22,HOU,porteke02
Michael Porter Jr.,SF,24,DEN,portemi01
Otto Porter Jr.,SF,29,TOR,porteot01
Bobby Portis,PF,27,MIL,portibo01
Kristaps Porziņģis,C,27,WAS,porzikr01
Micah Potter,PF,24,UTA,pottemi01
Dwight Powell,C,31,DAL,poweldw01
Norman Powell,SG,29,LAC,powelno01
Jason Preston,PG,23,LAC,prestja01
Joshua Primo,SG,20,SAS,primojo01
Taurean Prince,SF,28,MIN,princta02
Payton Pritchard,PG,25,BOS,pritcpa01
Trevelin Queen,SG,25,IND,queentr01
Neemias Queta,C,23,SAC,quetane01
Immanuel Quickley,PG,23,NYK,quickim01
Julius Randle,PF,28,NYK,randlju01
Austin Reaves,SG,24,LAL,reaveau01
Cam Reddish,SF,23,NYK,reddica01
Davon Reed,SG,27,DEN,reedda01
Paul Reed,C,23,PHI,reedpa01
Naz Reid,C,23,MIN,reidna01
Jared Rhoden,SG,23,DET,rhodeja01
Nick Richards,C,25,CHO,richani01
Josh Richardson,SG,29,SAS,richajo01
Austin Rivers,SG,30,MIN,riverau01
Duncan Robinson,SF,28,MIA,robindu01
Mitchell Robinson,C,24,NYK,robinmi01
Orlando Robinson,C,22,MIA,robinor01
Jeremiah Robinson-Earl,PF,22,OKC,robinje02
Isaiah Roby,PF,24,SAS,robyis01
David Roddy,PF,21,MEM,roddyda01
Ryan Rollins,PG,20,GSW,rolliry01
Derrick Rose,PG,34,NYK,rosede01
Terrence Ross,SG,31,ORL,rosste01
Terry Rozier,SG,28,CHO,roziete01
Ricky Rubio,PG,32,CLE,rubiori01
D'Angelo Russell,PG,26,MIN,russeda01
Matt Ryan,SF,25,TOT,ryanma01
Matt Ryan,SF,25,LAL,ryanma01
Matt Ryan,SF,25,MIN,ryanma01
Domantas Sabonis,C,26,SAC,sabondo01
Dario Šarić,PF,28,PHO,saricda01
Jordan Schakel,SF,24,WAS,schakjo01
Admiral Schofield,PF,25,ORL,schofad01
Dennis Schröder,PG,29,LAL,schrode01
Dereon Seabron,SG,22,NOP,seabrde01
Alperen Şengün,C,20,HOU,sengual01
Collin Sexton,SG,24,UTA,sextoco01
Landry Shamet,SG,25,PHO,shamela01
Day'Ron Sharpe,C,21,BRK,sharpda01
Shaedon Sharpe,SG,19,POR,sharpsh01
Pascal Siakam,C,28,TOR,siakapa01
Ben Simmons,PG,26,BRK,simmobe01
Marko Simonovic,C,23,CHI,simonma01
Anfernee Simons,SG,23,POR,simonan01
Jericho Sims,C,24,NYK,simsje01
Marcus Smart,PG,28,BOS,smartma01
Dennis Smith Jr.,PG,25,CHO,smithde03
Dru Smith,SG,25,MIA,smithdr01
Ish Smith,PG,34,DEN,smithis01
Jabari Smith Jr.,PF,19,HOU,smithja05
