Player,Pos,Age,Tm,No.,Ht,Div,Conf
198,Aaron Holiday,PG,26,ATL,3.0,6.0,SE,East
199,Jrue Holiday,PG,32,MIL,21.0,6.25,Cen.,East
200,Justin Holiday,SG,33,ATL,8.0,6.5,SE,East
201,Richaun Holmes,C,29,SAC,22.0,6.833333333333333,Pac.,West
202,Al Horford,C,36,BOS,42.0,6.75,Atl.,East
203,Talen Horton-Tucker,SG,22,UTA,0.0,6.333333333333333,NW,West
204,Danuel House Jr.,SF,29,PHI,25.0,6.5,Atl.,East
205,Caleb Houstan,SF,20,ORL,2.0,6.666666666666667,SE,East
207,Kevin Huerter,SG,24,SAC,9.0,6.583333333333333,Pac.,West
208,De'Andre Hunter,SF,25,ATL,12.0,6.666666666666667,SE,East
209,Bones Hyland,PG,22,DEN,3.0,6.25,NW,West
210,Serge Ibaka,C,33,MIL,25.0,6.833333333333333,Cen.,East
211,Andre Iguodala,SF,39,GSW,9.0,6.5,Pac.,West
212,Joe Ingles,SF,35,MIL,7.0,6.666666666666667,Cen.,East
213,Brandon Ingram,SF,25,NOP,14.0,6.666666666666667,SW,West
214,Kyrie Irving,PG,30,BRK,11.0,6.166666666666667,Atl.,East
215,Jaden Ivey,SG,20,DET,23.0,6.333333333333333,Cen.,East
216,Isaiah Jackson,C,21,IND,22.0,6.833333333333333,Cen.,East
217,Jaren Jackson Jr.,C,23,MEM,13.0,6.916666666666667,SW,West
218,Justin Jackson,SF,27,BOS,43.0,6.666666666666667,Atl.,East
219,Reggie Jackson,PG,32,LAC,1.0,6.166666666666667,Pac.,West
220,LeBron James,PF,38,LAL,6.0,6.75,Pac.,West
222,Isaiah Joe,SG,23,OKC,11.0,6.333333333333333,NW,West
224,Cameron Johnson,PF,26,PHO,23.0,6.666666666666667,Pac.,West
225,Jalen Johnson,SF,21,ATL,1.0,6.75,SE,East
226,James Johnson,PF,35,IND,16.0,6.583333333333333,Cen.,East
227,Keldon Johnson,SF,23,SAS,3.0,6.416666666666667,SW,West
228,Keon Johnson,SG,20,POR,6.0,6.416666666666667,NW,West
229,Stanley Johnson,SF,26,SAS,34.0,6.5,SW,West
230,Nikola Jokić,C,27,DEN,15.0,6.916666666666667,NW,West
232,Damian Jones,C,27,LAL,30.0,6.916666666666667,Pac.,West
